GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-server,com.increff.pos.dao,AbstractDao,0,8,0,0,0,3,0,1,0,1
pos-server,com.increff.pos.dao,ProductDao,8,122,0,0,1,23,1,7,1,7
pos-server,com.increff.pos.dao,DailyStatsDao,11,24,0,0,2,5,1,2,1,2
pos-server,com.increff.pos.dao,InvoiceDao,13,10,0,0,2,3,1,1,1,1
pos-server,com.increff.pos.dao,InventoryDao,0,26,0,0,0,5,0,2,0,2
pos-server,com.increff.pos.dao,OrderDao,0,129,0,0,0,24,0,6,0,6
pos-server,com.increff.pos.dao,ClientDao,30,23,0,0,5,5,1,2,1,2
pos-server,com.increff.pos.dto,InvoiceDto,0,28,0,0,0,7,0,3,0,3
pos-server,com.increff.pos.dto,ProductDto,0,117,0,0,0,31,0,9,0,9
pos-server,com.increff.pos.dto,SalesReportDto,0,16,0,0,0,6,0,2,0,2
pos-server,com.increff.pos.dto,AuthDto,0,12,0,0,0,3,0,2,0,2
pos-server,com.increff.pos.dto,OrderDto,8,96,0,0,2,25,1,8,1,8
pos-server,com.increff.pos.dto,DailyStatsDto,0,21,0,0,0,6,0,2,0,2
pos-server,com.increff.pos.dto,InventoryDto,0,48,0,0,0,15,0,6,0,6
pos-server,com.increff.pos.dto,ClientDto,0,81,0,0,0,21,0,6,0,6
pos-server,com.increff.pos.api.flow,InvoiceFlow,7,101,1,3,1,26,1,4,0,3
pos-server,com.increff.pos.api.flow,InventoryFlow,59,164,6,6,11,39,6,8,1,7
pos-server,com.increff.pos.api.flow,OrderFlow,87,205,11,9,19,39,8,8,1,5
pos-server,com.increff.pos.api.flow,SalesReportFlow,30,235,5,7,7,49,5,6,0,5
pos-server,com.increff.pos.api.flow,ProductFlow,0,17,0,0,0,4,0,2,0,2
pos-server,com.increff.pos.config,MongoConfig.ZonedDateTimeReadConverter,0,5,0,0,0,1,0,1,0,1
pos-server,com.increff.pos.config,SpringConfig,5,9,0,0,2,2,1,2,1,2
pos-server,com.increff.pos.config,SchedulerConfig,0,3,0,0,0,1,0,1,0,1
pos-server,com.increff.pos.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
pos-server,com.increff.pos.config,MongoConfig,0,24,0,0,0,5,0,2,0,2
pos-server,com.increff.pos.config,MongoConfig.ZonedDateTimeWriteConverter,0,4,0,0,0,1,0,1,0,1
pos-server,com.increff.pos.api,InventoryApiImpl,24,71,4,4,4,19,4,6,0,6
pos-server,com.increff.pos.api,InvoiceApiImpl,14,16,0,0,3,4,1,2,1,2
pos-server,com.increff.pos.api,ClientApiImpl,60,27,4,2,11,7,6,3,3,3
pos-server,com.increff.pos.api,ProductApiImpl,37,186,5,7,5,41,4,13,0,11
pos-server,com.increff.pos.api,AuthApiImpl,31,3,2,0,6,1,2,1,1,1
pos-server,com.increff.pos.api,OrderApiImpl,5,120,1,1,1,17,1,9,0,9
pos-server,com.increff.pos.db,ProductPojo,0,38,0,0,0,7,0,11,0,11
pos-server,com.increff.pos.db,OrderPojo,0,52,0,0,0,9,0,15,0,15
pos-server,com.increff.pos.db,ClientPojo,0,10,0,0,0,3,0,3,0,3
pos-server,com.increff.pos.db,OrderItemPojo,0,38,0,0,0,7,0,11,0,11
pos-server,com.increff.pos.db,InventoryPojo,0,17,0,0,0,4,0,5,0,5
pos-server,com.increff.pos.db,DailyStatsPojo,31,0,0,0,6,0,9,0,9,0
pos-server,com.increff.pos.db,InvoicePojo,0,45,0,0,0,8,0,13,0,13
pos-server,com.increff.pos.db,AbstractPojo,6,18,0,0,2,3,2,5,2,5
pos-server,com.increff.pos.db,InvoiceItemPojo,0,31,0,0,0,6,0,9,0,9
pos-server,com.increff.pos.api.Scheduler,DailyStatsScheduler,25,68,3,1,6,16,2,2,0,2
pos-server,com.increff.pos.helper,DailyStatsHelper,29,0,0,0,8,0,2,0,2,0
pos-server,com.increff.pos.helper,TokenService,97,36,14,0,25,3,12,2,5,2
pos-server,com.increff.pos.helper,OrderHelper,3,167,0,0,1,43,1,4,1,4
pos-server,com.increff.pos.helper,InvoiceHelper,3,74,0,2,1,19,1,3,1,2
pos-server,com.increff.pos.helper,ClientHelper,3,27,0,0,1,8,1,2,1,2
pos-server,com.increff.pos.helper,ProductHelper,34,134,2,2,6,29,2,5,1,4
pos-server,com.increff.pos.helper,InventoryHelper,58,108,6,6,12,28,6,5,1,4
pos-server,com.increff.pos.util,ValidationUtil,196,405,49,85,38,97,50,34,1,16
pos-server,com.increff.pos.util,NormalizeData,0,152,0,4,0,28,0,8,0,6
